id,calculated_name,db_name,raw_text_snippet,decision_log
2108,srcgroup,srcgroup,"[OCR RESULT (Combines 3 Passes)]: 146.5, a number that runs directly into how both teams 30 @srcgrou","   Input Lines (52): |      [0] '146.5, a number that runs directly into how both teams' |      [1] '30 @srcgroup « 2m ago' |      [2] '322nd-fastest tempo. That combination sets up a' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '146.5, a number that runs directly into how both teams' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'srcgroup' |      ✅ Valid Name Found!"
2107,Unknown Capper,Unknown Capper,"[OCR RESULT (Combines 3 Passes)]: ""4 vs . e VS e Bears Musketeers ML - 1 unit Missour! State Xavier ","   Input Lines (23): |      [0] '""4 vs' |      [1] '. e VS e' |      [2] 'Bears Musketeers' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '4 vs' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'e VS e' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback."
2106,Unknown Capper,Unknown Capper,[OCR RESULT (Combines 3 Passes)]: (-110) ) vs . / vs . ; Boise +10 (Sat) (-112) Boise State Washingt,   Input Lines (22): |      [0] '(-110)' |      [1] ') vs .' |      [2] '/ vs . ;' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'vs' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback.
2105,Los Angeles,Los Angeles,"[OCR RESULT (Combines 3 Passes)]: (-110) , Los Angeles Carolina New Orleans Carolina Panthers -2.5 (","   Input Lines (13): |      [0] '(-110)' |      [1] ', Los Angeles' |      [2] 'Carolina New Orleans' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'Los Angeles' |      ✅ Valid Name Found!"
2104,Unknown Capper,Unknown Capper,[OCR RESULT (Combines 3 Passes)]: (Combined reasoning from top cappers) 61.7 PPG: UConn’'s defense r,   Input Lines (41): |      [0] '(Combined reasoning from top cappers)' |      [1] '61.7 PPG: UConn’'s defense remains the most' |      [2] '@ TCC | Consensus Premium 8)' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: '61.7 PPG: UConn’'s defense remains the most' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback.
2103,"660 $208.00 $1,372.77","660 $208.00 $1,372.77","[OCR RESULT (Combines 3 Passes)]: +660 $208.00 $1,372.77 12/12/2025 2:30PM 2 Leg Same Game Parlay SI","   Input Lines (12): |      [0] '+660 $208.00 $1,372.77' |      [1] '12/12/2025 2:30PM' |      [2] '2 Leg Same Game Parlay SI IP ID: 28920437' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: '660 $208.00 $1,372.77' |      ✅ Valid Name Found!"
2102,Unknown Capper,Unknown Capper,[OCR RESULT (Combines 3 Passes)]: () Over 4.5 +110 ) Over 5.5 +100 Atlanta Hawks at Detroit Pistons ,   Input Lines (20): |      [0] '() Over 4.5 +110' |      [1] ') Over 5.5 +100' |      [2] 'Atlanta Hawks at Detroit Pistons' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Over 4.5 +110' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'Over 5.5 +100' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback.
2101,Unknown Capper,Unknown Capper,"[OCR RESULT (Combines 3 Passes)]: Bennedict Mathurin (IND) : Total points, rebounds and Bennedict Ma","   Input Lines (19): |      [0] 'Bennedict Mathurin (IND) : Total points, rebounds and' |      [1] 'Bennedict Mathurin (UND): Total points. rebounds and' |      [2] 'Brooklyn Nets at Dallas Mavericks' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Bennedict Mathurin (IND) : Total points, rebounds and' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'Bennedict Mathurin (UND): Total points. rebounds and' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback."
2100,Unknown Capper,Unknown Capper,[OCR RESULT (Combines 3 Passes)]: () Over 4.5 +110 Atlanta Hawks at Detroit Pistons Donte DiVincenzo,   Input Lines (20): |      [0] '() Over 4.5 +110' |      [1] 'Atlanta Hawks at Detroit Pistons' |      [2] 'Donte DiVincenzo (MIN): Assists' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Over 4.5 +110' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'Atlanta Hawks at Detroit Pistons' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback.
2099,Unknown Capper,Unknown Capper,"[OCR RESULT (Combines 3 Passes)]: ""Game | 12/12/2025 | 09:00:00 PM (EST) | Pending ' Football - NCAA","   Input Lines (38): |      [0] '""Game | 12/12/2025 | 09:00:00 PM (EST) | Pending' |      [1] '' Football - NCAA - Stephen F. Austin vs Montana '' |      [2] '' Game | 12/12/2025 | 09:00:00 PM (EST) | Pending' |    Is Aggregator? True |    Fallback Name set to 'Unknown Capper' (Generic Channel detected) |    Checking Line 0: 'Game | 12/12/2025 | 09:00:00 PM (EST) | Pending' |      ❌ Invalid (Regex Match/Length) |    Checking Line 1: 'Football - NCAA - Stephen F. Austin vs Montana' |      ❌ Invalid |    ⚠️ No internal name found. Using Fallback."
